"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","CWM.leaf","CWM.canopy"
"samp1",3,2,2,1,NA,0.066569103884191,0.0166422759710478,"strap","medium"
"samp2",3,2,2,1,NA,0.0614237188175993,0.0153559297043999,"strap","medium"
"samp3",3,2,2,1,NA,0.212992674518816,0.0532481686297041,"strap","medium"
"samp4",2,2,2,1,NA,0.249716231627343,0.0624290579068356,"strap","medium"
"samp5",2,2,2,1,NA,0.247031189798689,0.0617577974496722,"strap","medium"
"samp6",4,3,3,1,0.329271361306907,0.202221383964947,0.0835129586278849,"strap","medium"
"samp7",2,2,2,1,NA,0.214542509896411,0.0536356274741029,"strap","medium"
"samp8",3,2,2,1,NA,0.159195277833565,0.0397988194583912,"strap","medium"
"samp9",1,1,1,1,NA,0,0,"branching","tall"
"samp10",1,1,1,1,NA,0,0,"branching","tall"
"samp11",1,1,1,1,NA,0,0,"branching","tall"
"samp12",1,1,1,1,NA,0,0,"branching","tall"
"samp13",1,1,1,1,NA,0,0,"branching","tall"
"samp14",1,1,1,1,NA,0,0,"branching","tall"
"samp15",3,3,3,1,0.460113660278584,0.221119465610709,0.0636440229284919,"cylindrical","medium"
"samp16",3,3,3,1,0.0795265396700509,0.0498704761904762,0.0178478095238095,"cylindrical","medium"
"samp17",1,1,1,1,NA,0,0,"strap","medium"
"samp18",1,1,1,1,NA,0,0,"strap","medium"
"samp19",1,1,1,1,NA,0,0,"strap","medium"
"samp20",1,1,1,1,NA,0,0,"strap","tall"
"samp21",3,3,3,1,0.636101882618775,0.276601366990426,0.0893839372769517,"branching","tall"
"samp22",2,2,2,1,NA,0.069014650962367,0.0172536627405918,"strap","small-medium"
"samp23",2,2,2,1,NA,0.0753843216295069,0.0188460804073768,"strap","small-medium"
"samp24",3,3,3,1,0.65095558553427,0.372620180859419,0.175170803087053,"cylindrical","medium"
"samp25",1,1,1,1,NA,0,0,"branching","tall"
"samp26",2,1,1,1,NA,8.50843345014345e-09,0,"strap","medium"
"samp27",2,2,2,1,NA,0.210026259641505,0.0525065649103762,"strap","tall"
"samp28",2,2,2,1,NA,0.160074334087269,0.0400185835218173,"strap","tall"
"samp29",2,2,2,1,NA,0.250000000000001,0.0625,"strap","medium"
"samp30",2,2,2,1,NA,0.210012127643378,0.0525030319108444,"strap","medium"
"samp31",2,2,2,1,NA,0.172775297490788,0.0431938243726968,"strap","medium"
"samp32",1,1,1,1,NA,0,0,"paddle","small"
"samp33",2,2,2,1,NA,0.489183807182996,0.244591903591498,"strap","medium"
"samp34",2,2,2,1,NA,0.393220781678992,0.196610390839496,"branching","tall"
"samp35",2,2,2,1,NA,0.376068003099095,0.188034001549547,"strap","medium"
"samp36",1,1,1,1,NA,0,0,"branching","tall"
"samp37",1,1,1,1,NA,0,0,"strap","medium"
"samp38",2,2,2,1,NA,0.02575444532059,0.0064386113301475,"strap","medium"
"samp39",2,2,2,1,NA,0.0598209332188387,0.0149552333047097,"strap","medium"
"samp40",1,1,1,1,NA,0,0,"strap","medium"
"samp41",2,2,2,1,NA,0.0644764185385366,0.0161191046346341,"strap","medium"
"samp42",2,2,2,1,NA,0.0788014054927934,0.0394007027463967,"branching","tall"
"samp43",1,1,1,1,NA,0,0,"strap","medium"
"samp44",2,1,1,1,NA,3.81340284030235e-09,0,"strap","medium"
"samp45",3,3,3,1,0.756845384488452,0.472257318149207,0.237908739278827,"strap","medium"
"samp46",2,2,2,1,NA,0.499077761772853,0.249538880886427,"cylindrical","medium"
"samp47",4,4,4,1,0.269978441659921,0.136459360758787,0.0553729388569956,"strap","medium"
"samp48",4,4,4,1,0.0106198513210765,0.0181591511400151,0.00672398960503826,"strap","medium"
"samp49",1,1,1,1,NA,0,0,"strap","small-medium"
"samp50",1,1,1,1,NA,0,0,"strap","small-medium"
"samp51",2,2,2,1,NA,0.0421012650725815,0.0105253162681454,"strap","small-medium"
"samp52",1,1,1,1,NA,0,0,"strap","medium"
"samp53",2,2,2,1,NA,0.32412200072944,0.16206100036472,"strap","medium"
"samp54",2,2,2,1,NA,0.108550285354346,0.0271375713385867,"strap","medium"
"samp55",2,2,2,1,NA,0.175697052629535,0.043924263157384,"strap","medium"
